d_pre_goal,d_tail_goal,d_pre_raw,interval_pre,interval_tail,v_x,v_y,delta_v_goal,delta_v_raw,delta_a_x,delta_a_y,a_x,a_y
47.44066066601849,46.01514792204932,27.96674006103307,3.5159519502219894,3.2000270040946077,22.800000000000153,0.3157407948663149,3.006026469680023,2.230281671253209,24498.750000001124,-3672.111876760198,489.9750000000225,-73.44223753520396
47.38204013662494,46.134277787532795,27.923634427608015,3.512339766500787,3.1980671607044826,22.724999999999795,0.3343137828011322,2.9310264696775334,2.155281671252851,24311.25000000023,-3625.6794069231546,486.22500000000457,-72.51358813846309
47.32074179009776,46.24933350916563,27.878520822878038,3.508910651140013,3.193123105832825,22.650000000000503,0.31574079486205164,3.064917326358696,2.255680236498847,24123.750000001997,-3672.111876770856,482.4750000000399,-73.44223753541712
47.25944344357061,46.364389230798466,27.83340721814804,3.5054815357790687,3.1881790509610823,22.649999999999437,0.3157407948663149,3.06491732635763,2.255680236499913,24123.749999999334,-3672.111876760198,482.47499999998666,-73.44223753520396
47.19814509704346,46.47944495243128,27.788293613418126,3.5020524204181243,3.1832349960893396,22.650000000000503,0.3157407948663149,3.06491732635763,2.2556802364956496,24123.750000001997,-3672.111876760198,482.4750000000399,-73.44223753520396
47.136846750516305,46.594500674064136,27.74318000868817,3.4982518452984834,3.1779194814589005,22.649999999999437,0.3343137828011322,3.06491732635763,2.2556802364977813,24123.749999999334,-3625.6794069231546,482.47499999998666,-72.51358813846309
47.07704840398912,46.708056395696964,27.6995664039582,3.494822729937539,3.172975426587243,22.575000000000145,0.3157407948663149,2.9899173263594037,2.180680236498489,23936.250000001102,-3672.111876760198,478.725000000022,-73.44223753520396
47.014257996349734,46.818328997589006,27.65134808052764,3.492027816997904,3.1649233640089847,22.575000000000145,0.27859481899668026,3.139520381969163,2.4109161715280436,23936.250000001102,-3764.9768164342845,478.725000000022,-75.29953632868569
46.95146758871035,46.92860159948105,27.603129757097015,3.4888614442994026,3.1564998416719448,22.575000000000145,0.29716780693576084,3.139520381969163,2.410916171531241,23936.250000001102,-3718.544346586583,478.725000000022,-74.37088693173166
46.890177181070975,47.037374201373105,27.556411433666526,3.4856950716009862,3.14807631933499,22.499999999999787,0.2971678069314976,3.064520381968805,2.335916171524488,23748.750000000204,-3718.544346597241,474.9750000000041,-74.37088693194482
46.82738677343161,47.14764680326517,27.508193110235965,3.482528698902655,3.1396527969980355,22.575000000000145,0.2971678069314976,3.1395203819680972,2.4109161715280436,23936.250000001102,-3718.544346597241,478.725000000022,-74.37088693194482
